target,implementation_mode,paper_mode,recipe_source,repeat,run_id,intervention_id,campaign_id,reward,new_paths,new_edges,unique_crashes,recipe_hits,recipe_misses,recipe_hit_rate,promoted
cjson_parser,full-agent,AI recipe validated,AI,01,p1_e1_cjson_full-agent_r01,intv_default_1779488568323159_p139049_0035,micro_1779488568323187_p139049_0039,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,01,p1_e1_cjson_full-agent_r01,intv_dictionary_1779488568323164_p139049_0036,micro_1779488568323228_p139049_0040,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,01,p1_e1_cjson_full-agent_r01,intv_seed_focus_1779488568323173_p139049_0037,micro_1779488568323251_p139049_0041,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,01,p1_e1_cjson_full-agent_r01,intv_per_seed_recipe_1779488568323176_p139049_0038,micro_1779488568323267_p139049_0042,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,02,p1_e1_cjson_full-agent_r02,intv_default_1779488570755067_p139043_0035,micro_1779488570755088_p139043_0039,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,02,p1_e1_cjson_full-agent_r02,intv_dictionary_1779488570755071_p139043_0036,micro_1779488570755110_p139043_0040,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,02,p1_e1_cjson_full-agent_r02,intv_seed_focus_1779488570755073_p139043_0037,micro_1779488570755128_p139043_0041,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,02,p1_e1_cjson_full-agent_r02,intv_per_seed_recipe_1779488570755075_p139043_0038,micro_1779488570755136_p139043_0042,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,03,p1_e1_cjson_full-agent_r03,intv_default_1779488577470069_p139046_0035,micro_1779488577470113_p139046_0039,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,03,p1_e1_cjson_full-agent_r03,intv_dictionary_1779488577470076_p139046_0036,micro_1779488577470155_p139046_0040,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,03,p1_e1_cjson_full-agent_r03,intv_seed_focus_1779488577470080_p139046_0037,micro_1779488577470190_p139046_0041,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,03,p1_e1_cjson_full-agent_r03,intv_per_seed_recipe_1779488577470084_p139046_0038,micro_1779488577470212_p139046_0042,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,04,p1_e1_cjson_full-agent_r04,intv_default_1779488577998180_p139040_0035,micro_1779488577998206_p139040_0039,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,04,p1_e1_cjson_full-agent_r04,intv_dictionary_1779488577998190_p139040_0036,micro_1779488577998250_p139040_0040,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,04,p1_e1_cjson_full-agent_r04,intv_seed_focus_1779488577998192_p139040_0037,micro_1779488577998268_p139040_0041,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,04,p1_e1_cjson_full-agent_r04,intv_per_seed_recipe_1779488577998195_p139040_0038,micro_1779488577998287_p139040_0042,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,05,p1_e1_cjson_full-agent_r05,intv_default_1779503137705013_p230982_0035,micro_1779503137705057_p230982_0039,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,05,p1_e1_cjson_full-agent_r05,intv_dictionary_1779503137705028_p230982_0036,micro_1779503137705117_p230982_0040,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,05,p1_e1_cjson_full-agent_r05,intv_seed_focus_1779503137705033_p230982_0037,micro_1779503137705151_p230982_0041,0,0,0,0,0,0,,0
cjson_parser,full-agent,AI recipe validated,AI,05,p1_e1_cjson_full-agent_r05,intv_per_seed_recipe_1779503137705036_p230982_0038,micro_1779503137705186_p230982_0042,0,0,0,0,0,0,,0
cjson_parser,no-mutator,Mutator disabled ablation,,01,p1_e2_cjson_no-mutator_r01,intv_default_1779532355315922_p318620_0034,micro_1779532355315955_p318620_0038,0,0,0,0,0,0,,0
cjson_parser,no-mutator,Mutator disabled ablation,,01,p1_e2_cjson_no-mutator_r01,intv_dictionary_1779532355315931_p318620_0035,micro_1779532355316030_p318620_0039,0,0,0,0,0,0,,0
cjson_parser,no-mutator,Mutator disabled ablation,,01,p1_e2_cjson_no-mutator_r01,intv_seed_focus_1779532355315937_p318620_0036,micro_1779532355316048_p318620_0040,0,0,0,0,0,0,,0
cjson_parser,no-mutator,Mutator disabled ablation,,01,p1_e2_cjson_no-mutator_r01,intv_per_seed_recipe_1779532355315941_p318620_0037,micro_1779532355316059_p318620_0041,0,0,0,0,0,0,,0
cjson_parser,no-mutator,Mutator disabled ablation,,02,p1_e2_cjson_no-mutator_r02,intv_default_1779532338107855_p318614_0034,micro_1779532338107885_p318614_0038,0,0,0,0,0,0,,0
cjson_parser,no-mutator,Mutator disabled ablation,,02,p1_e2_cjson_no-mutator_r02,intv_dictionary_1779532338107863_p318614_0035,micro_1779532338107959_p318614_0039,0,0,0,0,0,0,,0
cjson_parser,no-mutator,Mutator disabled ablation,,02,p1_e2_cjson_no-mutator_r02,intv_seed_focus_1779532338107867_p318614_0036,micro_1779532338107994_p318614_0040,0,0,0,0,0,0,,0
cjson_parser,no-mutator,Mutator disabled ablation,,02,p1_e2_cjson_no-mutator_r02,intv_per_seed_recipe_1779532338107873_p318614_0037,micro_1779532338108008_p318614_0041,0,0,0,0,0,0,,0
